,data,data_numerica,ano,mes,uf,genero,regiao,função_y,previsão_otimista,previsão_pessimista
0,2022-01-01,2557,2022,1,Minas Gerais,Ambos,Sudeste,39.120000000000005,46.57142857142858,33.72413793103449
1,2022-02-01,2588,2022,2,Minas Gerais,Ambos,Sudeste,39.43,46.94047619047619,33.99137931034483
2,2022-03-01,2616,2022,3,Minas Gerais,Ambos,Sudeste,39.71,47.273809523809526,34.23275862068966
3,2022-04-01,2647,2022,4,Minas Gerais,Ambos,Sudeste,40.019999999999996,47.64285714285714,34.5
4,2022-05-01,2677,2022,5,Minas Gerais,Ambos,Sudeste,40.32,48.0,34.758620689655174
5,2022-06-01,2708,2022,6,Minas Gerais,Ambos,Sudeste,40.63,48.36904761904762,35.02586206896552
6,2022-07-01,2738,2022,7,Minas Gerais,Ambos,Sudeste,40.93,48.726190476190474,35.28448275862069
7,2022-08-01,2769,2022,8,Minas Gerais,Ambos,Sudeste,41.24,49.0952380952381,35.55172413793104
8,2022-09-01,2800,2022,9,Minas Gerais,Ambos,Sudeste,41.55,49.464285714285715,35.81896551724138
9,2022-10-01,2830,2022,10,Minas Gerais,Ambos,Sudeste,41.85,49.82142857142858,36.077586206896555
10,2022-11-01,2861,2022,11,Minas Gerais,Ambos,Sudeste,42.16,50.19047619047619,36.3448275862069
11,2022-12-01,2891,2022,12,Minas Gerais,Ambos,Sudeste,42.46,50.54761904761905,36.60344827586207
12,2023-01-01,2922,2023,1,Minas Gerais,Ambos,Sudeste,42.769999999999996,50.916666666666664,36.87068965517241
13,2023-02-01,2953,2023,2,Minas Gerais,Ambos,Sudeste,43.08,51.285714285714285,37.13793103448276
14,2023-03-01,2981,2023,3,Minas Gerais,Ambos,Sudeste,43.36,51.61904761904762,37.37931034482759
15,2023-04-01,3012,2023,4,Minas Gerais,Ambos,Sudeste,43.67,51.98809523809524,37.646551724137936
16,2023-05-01,3042,2023,5,Minas Gerais,Ambos,Sudeste,43.97,52.345238095238095,37.9051724137931
17,2023-06-01,3073,2023,6,Minas Gerais,Ambos,Sudeste,44.28,52.714285714285715,38.17241379310345
18,2023-07-01,3103,2023,7,Minas Gerais,Ambos,Sudeste,44.58,53.07142857142857,38.43103448275862
19,2023-08-01,3134,2023,8,Minas Gerais,Ambos,Sudeste,44.89,53.44047619047619,38.69827586206897
20,2023-09-01,3165,2023,9,Minas Gerais,Ambos,Sudeste,45.2,53.80952380952382,38.96551724137932
21,2023-10-01,3195,2023,10,Minas Gerais,Ambos,Sudeste,45.5,54.16666666666667,39.224137931034484
22,2023-11-01,3226,2023,11,Minas Gerais,Ambos,Sudeste,45.81,54.53571428571429,39.49137931034483
23,2023-12-01,3256,2023,12,Minas Gerais,Ambos,Sudeste,46.11,54.892857142857146,39.75
