,ano,uf,genero,mes,numero,data,regiao,data_numerica,predição,função_y
192,2019,Minas Gerais,Masculino,Janeiro,48,2019-01-01,Sudeste,1461,23.9278829826644,28.16
193,2019,Minas Gerais,Masculino,Fevereiro,32,2019-02-01,Sudeste,1492,24.146837182510964,28.47
194,2019,Minas Gerais,Masculino,Março,23,2019-03-01,Sudeste,1520,24.34460226624335,28.75
195,2019,Minas Gerais,Masculino,Abril,30,2019-04-01,Sudeste,1551,24.563556466089917,29.060000000000002
196,2019,Minas Gerais,Masculino,Maio,26,2019-05-01,Sudeste,1581,24.775447627231756,29.36
197,2019,Minas Gerais,Masculino,Junho,16,2019-06-01,Sudeste,1612,24.994401827078327,29.67
198,2019,Minas Gerais,Masculino,Julho,24,2019-07-01,Sudeste,1642,25.206292988220167,29.970000000000002
199,2019,Minas Gerais,Masculino,Agosto,30,2019-08-01,Sudeste,1673,25.425247188066734,30.28
200,2019,Minas Gerais,Masculino,Setembro,32,2019-09-01,Sudeste,1704,25.644201387913302,30.59
201,2019,Minas Gerais,Masculino,Outubro,29,2019-10-01,Sudeste,1734,25.85609254905514,30.89
202,2019,Minas Gerais,Masculino,Novembro,34,2019-11-01,Sudeste,1765,26.075046748901713,31.200000000000003
203,2019,Minas Gerais,Masculino,Dezembro,27,2019-12-01,Sudeste,1795,26.286937910043548,31.5
516,2015,Minas Gerais,Masculino,Janeiro,10,2015-01-01,Sudeste,0,13.608783435056786,13.55
517,2015,Minas Gerais,Masculino,Fevereiro,6,2015-02-01,Sudeste,31,13.827737634903354,13.860000000000001
518,2015,Minas Gerais,Masculino,Março,13,2015-03-01,Sudeste,59,14.025502718635739,14.14
519,2015,Minas Gerais,Masculino,Abril,11,2015-04-01,Sudeste,90,14.244456918482307,14.450000000000001
520,2015,Minas Gerais,Masculino,Maio,11,2015-05-01,Sudeste,120,14.456348079624146,14.75
521,2015,Minas Gerais,Masculino,Junho,12,2015-06-01,Sudeste,151,14.675302279470714,15.06
522,2015,Minas Gerais,Masculino,Julho,17,2015-07-01,Sudeste,181,14.887193440612554,15.360000000000001
523,2015,Minas Gerais,Masculino,Agosto,14,2015-08-01,Sudeste,212,15.106147640459122,15.670000000000002
524,2015,Minas Gerais,Masculino,Setembro,14,2015-09-01,Sudeste,243,15.32510184030569,15.98
525,2015,Minas Gerais,Masculino,Outubro,31,2015-10-01,Sudeste,273,15.53699300144753,16.28
526,2015,Minas Gerais,Masculino,Novembro,25,2015-11-01,Sudeste,304,15.755947201294099,16.59
527,2015,Minas Gerais,Masculino,Dezembro,13,2015-12-01,Sudeste,334,15.967838362435938,16.89
840,2016,Minas Gerais,Masculino,Janeiro,10,2016-01-01,Sudeste,365,16.186792562282506,17.2
841,2016,Minas Gerais,Masculino,Fevereiro,7,2016-02-01,Sudeste,396,16.405746762129077,17.51
842,2016,Minas Gerais,Masculino,Março,12,2016-03-01,Sudeste,425,16.610574884566187,17.8
843,2016,Minas Gerais,Masculino,Abril,14,2016-04-01,Sudeste,456,16.829529084412755,18.11
844,2016,Minas Gerais,Masculino,Maio,14,2016-05-01,Sudeste,486,17.041420245554594,18.41
845,2016,Minas Gerais,Masculino,Junho,12,2016-06-01,Sudeste,517,17.260374445401162,18.72
846,2016,Minas Gerais,Masculino,Julho,27,2016-07-01,Sudeste,547,17.472265606543004,19.02
