,data,data_numerica,ano,mes,uf,genero,regiao,função_y,previsão_otimista,previsão_pessimista
0,2022-01-01,2557,2022,1,São Paulo,Ambos,Sudeste,135.04000000000002,168.8,112.53333333333336
1,2022-02-01,2588,2022,2,São Paulo,Ambos,Sudeste,135.66,169.575,113.05
2,2022-03-01,2616,2022,3,São Paulo,Ambos,Sudeste,136.22,170.27499999999998,113.51666666666667
3,2022-04-01,2647,2022,4,São Paulo,Ambos,Sudeste,136.84,171.04999999999998,114.03333333333335
4,2022-05-01,2677,2022,5,São Paulo,Ambos,Sudeste,137.44,171.79999999999998,114.53333333333333
5,2022-06-01,2708,2022,6,São Paulo,Ambos,Sudeste,138.06,172.575,115.05000000000001
6,2022-07-01,2738,2022,7,São Paulo,Ambos,Sudeste,138.66,173.325,115.55
7,2022-08-01,2769,2022,8,São Paulo,Ambos,Sudeste,139.28,174.1,116.06666666666668
8,2022-09-01,2800,2022,9,São Paulo,Ambos,Sudeste,139.9,174.875,116.58333333333334
9,2022-10-01,2830,2022,10,São Paulo,Ambos,Sudeste,140.5,175.625,117.08333333333334
10,2022-11-01,2861,2022,11,São Paulo,Ambos,Sudeste,141.12,176.4,117.60000000000001
11,2022-12-01,2891,2022,12,São Paulo,Ambos,Sudeste,141.72,177.14999999999998,118.10000000000001
12,2023-01-01,2922,2023,1,São Paulo,Ambos,Sudeste,142.34,177.92499999999998,118.61666666666667
13,2023-02-01,2953,2023,2,São Paulo,Ambos,Sudeste,142.96,178.7,119.13333333333334
14,2023-03-01,2981,2023,3,São Paulo,Ambos,Sudeste,143.52,179.4,119.60000000000001
15,2023-04-01,3012,2023,4,São Paulo,Ambos,Sudeste,144.14000000000001,180.175,120.11666666666669
16,2023-05-01,3042,2023,5,São Paulo,Ambos,Sudeste,144.74,180.925,120.61666666666667
17,2023-06-01,3073,2023,6,São Paulo,Ambos,Sudeste,145.36,181.70000000000002,121.13333333333335
18,2023-07-01,3103,2023,7,São Paulo,Ambos,Sudeste,145.96,182.45,121.63333333333334
19,2023-08-01,3134,2023,8,São Paulo,Ambos,Sudeste,146.58,183.225,122.15000000000002
20,2023-09-01,3165,2023,9,São Paulo,Ambos,Sudeste,147.20000000000002,184.0,122.66666666666669
21,2023-10-01,3195,2023,10,São Paulo,Ambos,Sudeste,147.8,184.75,123.16666666666669
22,2023-11-01,3226,2023,11,São Paulo,Ambos,Sudeste,148.42000000000002,185.525,123.68333333333335
23,2023-12-01,3256,2023,12,São Paulo,Ambos,Sudeste,149.02,186.275,124.18333333333335
