"ano","uf","genero","mes","numero"
2020,"Rondônia","Masculino","Janeiro",0
2020,"Rondônia","Masculino","Fevereiro",2
2020,"Rondônia","Masculino","Março",0
2020,"Rondônia","Masculino","Abril",1
2020,"Rondônia","Masculino","Maio",0
2020,"Rondônia","Masculino","Junho",0
2020,"Rondônia","Masculino","Julho",2
2020,"Rondônia","Masculino","Agosto",1
2020,"Rondônia","Masculino","Setembro",1
2020,"Rondônia","Masculino","Outubro",2
2020,"Rondônia","Masculino","Novembro",1
2020,"Rondônia","Masculino","Dezembro",1
2020,"Acre","Masculino","Janeiro",0
2020,"Acre","Masculino","Fevereiro",0
2020,"Acre","Masculino","Março",0
2020,"Acre","Masculino","Abril",0
2020,"Acre","Masculino","Maio",0
2020,"Acre","Masculino","Junho",0
2020,"Acre","Masculino","Julho",0
2020,"Acre","Masculino","Agosto",0
2020,"Acre","Masculino","Setembro",0
2020,"Acre","Masculino","Outubro",1
2020,"Acre","Masculino","Novembro",1
2020,"Acre","Masculino","Dezembro",0
2020,"Amazonas","Masculino","Janeiro",1
2020,"Amazonas","Masculino","Fevereiro",2
2020,"Amazonas","Masculino","Março",6
2020,"Amazonas","Masculino","Abril",0
2020,"Amazonas","Masculino","Maio",1
2020,"Amazonas","Masculino","Junho",0
2020,"Amazonas","Masculino","Julho",1
2020,"Amazonas","Masculino","Agosto",1
2020,"Amazonas","Masculino","Setembro",0
2020,"Amazonas","Masculino","Outubro",3
2020,"Amazonas","Masculino","Novembro",3
2020,"Amazonas","Masculino","Dezembro",6
2020,"Roraima","Masculino","Janeiro",1
2020,"Roraima","Masculino","Fevereiro",0
2020,"Roraima","Masculino","Março",1
2020,"Roraima","Masculino","Abril",0
2020,"Roraima","Masculino","Maio",0
2020,"Roraima","Masculino","Junho",2
2020,"Roraima","Masculino","Julho",0
2020,"Roraima","Masculino","Agosto",0
2020,"Roraima","Masculino","Setembro",0
2020,"Roraima","Masculino","Outubro",0
2020,"Roraima","Masculino","Novembro",1
2020,"Roraima","Masculino","Dezembro",0
2020,"Pará","Masculino","Janeiro",1
2020,"Pará","Masculino","Fevereiro",5
2020,"Pará","Masculino","Março",1
2020,"Pará","Masculino","Abril",0
2020,"Pará","Masculino","Maio",0
2020,"Pará","Masculino","Junho",1
2020,"Pará","Masculino","Julho",2
2020,"Pará","Masculino","Agosto",5
2020,"Pará","Masculino","Setembro",3
2020,"Pará","Masculino","Outubro",5
2020,"Pará","Masculino","Novembro",1
2020,"Pará","Masculino","Dezembro",4
2020,"Amapá","Masculino","Janeiro",0
2020,"Amapá","Masculino","Fevereiro",1
2020,"Amapá","Masculino","Março",2
2020,"Amapá","Masculino","Abril",0
2020,"Amapá","Masculino","Maio",0
2020,"Amapá","Masculino","Junho",0
2020,"Amapá","Masculino","Julho",0
2020,"Amapá","Masculino","Agosto",0
2020,"Amapá","Masculino","Setembro",0
2020,"Amapá","Masculino","Outubro",0
2020,"Amapá","Masculino","Novembro",0
2020,"Amapá","Masculino","Dezembro",0
2020,"Tocantins","Masculino","Janeiro",0
2020,"Tocantins","Masculino","Fevereiro",1
2020,"Tocantins","Masculino","Março",0
2020,"Tocantins","Masculino","Abril",0
2020,"Tocantins","Masculino","Maio",1
2020,"Tocantins","Masculino","Junho",0
2020,"Tocantins","Masculino","Julho",0
2020,"Tocantins","Masculino","Agosto",1
2020,"Tocantins","Masculino","Setembro",2
2020,"Tocantins","Masculino","Outubro",3
2020,"Tocantins","Masculino","Novembro",0
2020,"Tocantins","Masculino","Dezembro",0
2020,"Maranhão","Masculino","Janeiro",3
2020,"Maranhão","Masculino","Fevereiro",2
2020,"Maranhão","Masculino","Março",3
2020,"Maranhão","Masculino","Abril",2
2020,"Maranhão","Masculino","Maio",2
2020,"Maranhão","Masculino","Junho",1
2020,"Maranhão","Masculino","Julho",1
2020,"Maranhão","Masculino","Agosto",1
2020,"Maranhão","Masculino","Setembro",2
2020,"Maranhão","Masculino","Outubro",2
2020,"Maranhão","Masculino","Novembro",0
2020,"Maranhão","Masculino","Dezembro",2
2020,"Piauí","Masculino","Janeiro",1
2020,"Piauí","Masculino","Fevereiro",0
2020,"Piauí","Masculino","Março",0
2020,"Piauí","Masculino","Abril",0
2020,"Piauí","Masculino","Maio",0
2020,"Piauí","Masculino","Junho",0
2020,"Piauí","Masculino","Julho",0
2020,"Piauí","Masculino","Agosto",0
2020,"Piauí","Masculino","Setembro",0
2020,"Piauí","Masculino","Outubro",1
2020,"Piauí","Masculino","Novembro",2
2020,"Piauí","Masculino","Dezembro",0
2020,"Ceará","Masculino","Janeiro",8
2020,"Ceará","Masculino","Fevereiro",6
2020,"Ceará","Masculino","Março",3
2020,"Ceará","Masculino","Abril",3
2020,"Ceará","Masculino","Maio",1
2020,"Ceará","Masculino","Junho",2
2020,"Ceará","Masculino","Julho",3
2020,"Ceará","Masculino","Agosto",6
2020,"Ceará","Masculino","Setembro",6
2020,"Ceará","Masculino","Outubro",12
2020,"Ceará","Masculino","Novembro",12
2020,"Ceará","Masculino","Dezembro",11
2020,"Rio Grande do Norte","Masculino","Janeiro",4
2020,"Rio Grande do Norte","Masculino","Fevereiro",1
2020,"Rio Grande do Norte","Masculino","Março",0
2020,"Rio Grande do Norte","Masculino","Abril",2
2020,"Rio Grande do Norte","Masculino","Maio",3
2020,"Rio Grande do Norte","Masculino","Junho",2
2020,"Rio Grande do Norte","Masculino","Julho",2
2020,"Rio Grande do Norte","Masculino","Agosto",1
