"ano","uf","genero","mes","numero"
2019,"Rondônia","Feminino","Janeiro",2
2019,"Rondônia","Feminino","Fevereiro",3
2019,"Rondônia","Feminino","Março",4
2019,"Rondônia","Feminino","Abril",4
2019,"Rondônia","Feminino","Maio",0
2019,"Rondônia","Feminino","Junho",2
2019,"Rondônia","Feminino","Julho",2
2019,"Rondônia","Feminino","Agosto",1
2019,"Rondônia","Feminino","Setembro",2
2019,"Rondônia","Feminino","Outubro",3
2019,"Rondônia","Feminino","Novembro",3
2019,"Rondônia","Feminino","Dezembro",3
2019,"Acre","Feminino","Janeiro",1
2019,"Acre","Feminino","Fevereiro",1
2019,"Acre","Feminino","Março",1
2019,"Acre","Feminino","Abril",0
2019,"Acre","Feminino","Maio",1
2019,"Acre","Feminino","Junho",1
2019,"Acre","Feminino","Julho",1
2019,"Acre","Feminino","Agosto",1
2019,"Acre","Feminino","Setembro",1
2019,"Acre","Feminino","Outubro",1
2019,"Acre","Feminino","Novembro",0
2019,"Acre","Feminino","Dezembro",0
2019,"Amazonas","Feminino","Janeiro",3
2019,"Amazonas","Feminino","Fevereiro",9
2019,"Amazonas","Feminino","Março",2
2019,"Amazonas","Feminino","Abril",3
2019,"Amazonas","Feminino","Maio",6
2019,"Amazonas","Feminino","Junho",5
2019,"Amazonas","Feminino","Julho",2
2019,"Amazonas","Feminino","Agosto",3
2019,"Amazonas","Feminino","Setembro",4
2019,"Amazonas","Feminino","Outubro",4
2019,"Amazonas","Feminino","Novembro",3
2019,"Amazonas","Feminino","Dezembro",2
2019,"Roraima","Feminino","Janeiro",0
2019,"Roraima","Feminino","Fevereiro",1
2019,"Roraima","Feminino","Março",0
2019,"Roraima","Feminino","Abril",1
2019,"Roraima","Feminino","Maio",1
2019,"Roraima","Feminino","Junho",1
2019,"Roraima","Feminino","Julho",0
2019,"Roraima","Feminino","Agosto",6
2019,"Roraima","Feminino","Setembro",0
2019,"Roraima","Feminino","Outubro",0
2019,"Roraima","Feminino","Novembro",0
2019,"Roraima","Feminino","Dezembro",1
2019,"Pará","Feminino","Janeiro",14
2019,"Pará","Feminino","Fevereiro",9
2019,"Pará","Feminino","Março",9
2019,"Pará","Feminino","Abril",6
2019,"Pará","Feminino","Maio",2
2019,"Pará","Feminino","Junho",5
2019,"Pará","Feminino","Julho",11
2019,"Pará","Feminino","Agosto",6
2019,"Pará","Feminino","Setembro",5
2019,"Pará","Feminino","Outubro",6
2019,"Pará","Feminino","Novembro",11
2019,"Pará","Feminino","Dezembro",12
2019,"Amapá","Feminino","Janeiro",0
2019,"Amapá","Feminino","Fevereiro",5
2019,"Amapá","Feminino","Março",2
2019,"Amapá","Feminino","Abril",0
2019,"Amapá","Feminino","Maio",0
2019,"Amapá","Feminino","Junho",0
2019,"Amapá","Feminino","Julho",0
2019,"Amapá","Feminino","Agosto",2
2019,"Amapá","Feminino","Setembro",0
2019,"Amapá","Feminino","Outubro",1
2019,"Amapá","Feminino","Novembro",1
2019,"Amapá","Feminino","Dezembro",1
2019,"Tocantins","Feminino","Janeiro",0
2019,"Tocantins","Feminino","Fevereiro",1
2019,"Tocantins","Feminino","Março",2
2019,"Tocantins","Feminino","Abril",1
2019,"Tocantins","Feminino","Maio",1
2019,"Tocantins","Feminino","Junho",0
2019,"Tocantins","Feminino","Julho",2
2019,"Tocantins","Feminino","Agosto",0
2019,"Tocantins","Feminino","Setembro",0
2019,"Tocantins","Feminino","Outubro",3
2019,"Tocantins","Feminino","Novembro",2
2019,"Tocantins","Feminino","Dezembro",1
2019,"Maranhão","Feminino","Janeiro",6
2019,"Maranhão","Feminino","Fevereiro",4
2019,"Maranhão","Feminino","Março",0
2019,"Maranhão","Feminino","Abril",2
2019,"Maranhão","Feminino","Maio",1
2019,"Maranhão","Feminino","Junho",1
2019,"Maranhão","Feminino","Julho",2
2019,"Maranhão","Feminino","Agosto",1
2019,"Maranhão","Feminino","Setembro",2
2019,"Maranhão","Feminino","Outubro",1
2019,"Maranhão","Feminino","Novembro",2
2019,"Maranhão","Feminino","Dezembro",0
2019,"Piauí","Feminino","Janeiro",2
2019,"Piauí","Feminino","Fevereiro",4
2019,"Piauí","Feminino","Março",2
2019,"Piauí","Feminino","Abril",2
2019,"Piauí","Feminino","Maio",4
2019,"Piauí","Feminino","Junho",3
2019,"Piauí","Feminino","Julho",2
2019,"Piauí","Feminino","Agosto",1
2019,"Piauí","Feminino","Setembro",1
2019,"Piauí","Feminino","Outubro",3
2019,"Piauí","Feminino","Novembro",1
2019,"Piauí","Feminino","Dezembro",2
2019,"Ceará","Feminino","Janeiro",36
2019,"Ceará","Feminino","Fevereiro",18
2019,"Ceará","Feminino","Março",18
2019,"Ceará","Feminino","Abril",10
2019,"Ceará","Feminino","Maio",10
2019,"Ceará","Feminino","Junho",14
2019,"Ceará","Feminino","Julho",17
2019,"Ceará","Feminino","Agosto",9
2019,"Ceará","Feminino","Setembro",16
2019,"Ceará","Feminino","Outubro",15
2019,"Ceará","Feminino","Novembro",10
2019,"Ceará","Feminino","Dezembro",26
2019,"Rio Grande do Norte","Feminino","Janeiro",10
2019,"Rio Grande do Norte","Feminino","Fevereiro",9
2019,"Rio Grande do Norte","Feminino","Março",0
2019,"Rio Grande do Norte","Feminino","Abril",9
2019,"Rio Grande do Norte","Feminino","Maio",6
2019,"Rio Grande do Norte","Feminino","Junho",5
2019,"Rio Grande do Norte","Feminino","Julho",2
2019,"Rio Grande do Norte","Feminino","Agosto",4
2019,"Rio Grande do Norte","Feminino","Setembro",7
2019,"Rio Grande do Norte","Feminino","Outubro",7
2019,"Rio Grande do Norte","Feminino","Novembro",3
2019,"Rio Grande do Norte","Feminino","Dezembro",9
2019,"Paraíba","Feminino","Janeiro",36
2019,"Paraíba","Feminino","Fevereiro",2
2019,"Paraíba","Feminino","Março",3
2019,"Paraíba","Feminino","Abril",2
2019,"Paraíba","Feminino","Maio",5
2019,"Paraíba","Feminino","Junho",4
2019,"Paraíba","Feminino","Julho",3
2019,"Paraíba","Feminino","Agosto",4
2019,"Paraíba","Feminino","Setembro",2
2019,"Paraíba","Feminino","Outubro",4
2019,"Paraíba","Feminino","Novembro",6
2019,"Paraíba","Feminino","Dezembro",12
2019,"Pernambuco","Feminino","Janeiro",25
2019,"Pernambuco","Feminino","Fevereiro",31
2019,"Pernambuco","Feminino","Março",12
2019,"Pernambuco","Feminino","Abril",16
2019,"Pernambuco","Feminino","Maio",15
2019,"Pernambuco","Feminino","Junho",11
2019,"Pernambuco","Feminino","Julho",22
2019,"Pernambuco","Feminino","Agosto",14
2019,"Pernambuco","Feminino","Setembro",12
2019,"Pernambuco","Feminino","Outubro",17
2019,"Pernambuco","Feminino","Novembro",19
2019,"Pernambuco","Feminino","Dezembro",23
2019,"Alagoas","Feminino","Janeiro",7
2019,"Alagoas","Feminino","Fevereiro",0
2019,"Alagoas","Feminino","Março",4
2019,"Alagoas","Feminino","Abril",2
2019,"Alagoas","Feminino","Maio",3
2019,"Alagoas","Feminino","Junho",2
2019,"Alagoas","Feminino","Julho",5
2019,"Alagoas","Feminino","Agosto",5
2019,"Alagoas","Feminino","Setembro",8
2019,"Alagoas","Feminino","Outubro",5
2019,"Alagoas","Feminino","Novembro",4
