,ano,uf,genero,mes,numero
0,2019,Rondônia,Masculino,Janeiro,0
1,2019,Rondônia,Masculino,Fevereiro,4
2,2019,Rondônia,Masculino,Março,1
3,2019,Rondônia,Masculino,Abril,0
4,2019,Rondônia,Masculino,Maio,0
5,2019,Rondônia,Masculino,Junho,2
6,2019,Rondônia,Masculino,Julho,3
7,2019,Rondônia,Masculino,Agosto,1
8,2019,Rondônia,Masculino,Setembro,2
9,2019,Rondônia,Masculino,Outubro,0
10,2019,Rondônia,Masculino,Novembro,2
11,2019,Rondônia,Masculino,Dezembro,2
12,2019,Acre,Masculino,Janeiro,0
13,2019,Acre,Masculino,Fevereiro,0
14,2019,Acre,Masculino,Março,0
15,2019,Acre,Masculino,Abril,0
16,2019,Acre,Masculino,Maio,0
17,2019,Acre,Masculino,Junho,1
18,2019,Acre,Masculino,Julho,2
19,2019,Acre,Masculino,Agosto,2
20,2019,Acre,Masculino,Setembro,0
21,2019,Acre,Masculino,Outubro,0
22,2019,Acre,Masculino,Novembro,0
23,2019,Acre,Masculino,Dezembro,1
24,2019,Amazonas,Masculino,Janeiro,8
25,2019,Amazonas,Masculino,Fevereiro,1
26,2019,Amazonas,Masculino,Março,1
27,2019,Amazonas,Masculino,Abril,0
28,2019,Amazonas,Masculino,Maio,3
29,2019,Amazonas,Masculino,Junho,2
30,2019,Amazonas,Masculino,Julho,2
31,2019,Amazonas,Masculino,Agosto,2
32,2019,Amazonas,Masculino,Setembro,1
33,2019,Amazonas,Masculino,Outubro,1
34,2019,Amazonas,Masculino,Novembro,0
35,2019,Amazonas,Masculino,Dezembro,1
36,2019,Roraima,Masculino,Janeiro,0
37,2019,Roraima,Masculino,Fevereiro,1
38,2019,Roraima,Masculino,Março,0
39,2019,Roraima,Masculino,Abril,2
40,2019,Roraima,Masculino,Maio,1
41,2019,Roraima,Masculino,Junho,0
42,2019,Roraima,Masculino,Julho,1
43,2019,Roraima,Masculino,Agosto,1
44,2019,Roraima,Masculino,Setembro,1
45,2019,Roraima,Masculino,Outubro,0
46,2019,Roraima,Masculino,Novembro,0
47,2019,Roraima,Masculino,Dezembro,0
48,2019,Pará,Masculino,Janeiro,9
49,2019,Pará,Masculino,Fevereiro,7
50,2019,Pará,Masculino,Março,3
51,2019,Pará,Masculino,Abril,1
52,2019,Pará,Masculino,Maio,7
53,2019,Pará,Masculino,Junho,5
54,2019,Pará,Masculino,Julho,6
55,2019,Pará,Masculino,Agosto,2
56,2019,Pará,Masculino,Setembro,2
57,2019,Pará,Masculino,Outubro,5
58,2019,Pará,Masculino,Novembro,5
59,2019,Pará,Masculino,Dezembro,11
60,2019,Amapá,Masculino,Janeiro,0
