,ano,uf,genero,mes,numero,data,regiao,data_numerica
0,2019,Rondônia,Masculino,Janeiro,0,2019-01-01,Norte,1461
1,2019,Rondônia,Masculino,Fevereiro,4,2019-02-01,Norte,1492
2,2019,Rondônia,Masculino,Março,1,2019-03-01,Norte,1520
3,2019,Rondônia,Masculino,Abril,0,2019-04-01,Norte,1551
4,2019,Rondônia,Masculino,Maio,0,2019-05-01,Norte,1581
5,2019,Rondônia,Masculino,Junho,2,2019-06-01,Norte,1612
6,2019,Rondônia,Masculino,Julho,3,2019-07-01,Norte,1642
7,2019,Rondônia,Masculino,Agosto,1,2019-08-01,Norte,1673
8,2019,Rondônia,Masculino,Setembro,2,2019-09-01,Norte,1704
9,2019,Rondônia,Masculino,Outubro,0,2019-10-01,Norte,1734
10,2019,Rondônia,Masculino,Novembro,2,2019-11-01,Norte,1765
11,2019,Rondônia,Masculino,Dezembro,2,2019-12-01,Norte,1795
12,2019,Acre,Masculino,Janeiro,0,2019-01-01,Norte,1461
13,2019,Acre,Masculino,Fevereiro,0,2019-02-01,Norte,1492
14,2019,Acre,Masculino,Março,0,2019-03-01,Norte,1520
15,2019,Acre,Masculino,Abril,0,2019-04-01,Norte,1551
16,2019,Acre,Masculino,Maio,0,2019-05-01,Norte,1581
17,2019,Acre,Masculino,Junho,1,2019-06-01,Norte,1612
18,2019,Acre,Masculino,Julho,2,2019-07-01,Norte,1642
19,2019,Acre,Masculino,Agosto,2,2019-08-01,Norte,1673
20,2019,Acre,Masculino,Setembro,0,2019-09-01,Norte,1704
21,2019,Acre,Masculino,Outubro,0,2019-10-01,Norte,1734
22,2019,Acre,Masculino,Novembro,0,2019-11-01,Norte,1765
23,2019,Acre,Masculino,Dezembro,1,2019-12-01,Norte,1795
24,2019,Amazonas,Masculino,Janeiro,8,2019-01-01,Norte,1461
25,2019,Amazonas,Masculino,Fevereiro,1,2019-02-01,Norte,1492
26,2019,Amazonas,Masculino,Março,1,2019-03-01,Norte,1520
27,2019,Amazonas,Masculino,Abril,0,2019-04-01,Norte,1551
28,2019,Amazonas,Masculino,Maio,3,2019-05-01,Norte,1581
29,2019,Amazonas,Masculino,Junho,2,2019-06-01,Norte,1612
30,2019,Amazonas,Masculino,Julho,2,2019-07-01,Norte,1642
31,2019,Amazonas,Masculino,Agosto,2,2019-08-01,Norte,1673
32,2019,Amazonas,Masculino,Setembro,1,2019-09-01,Norte,1704
33,2019,Amazonas,Masculino,Outubro,1,2019-10-01,Norte,1734
34,2019,Amazonas,Masculino,Novembro,0,2019-11-01,Norte,1765
35,2019,Amazonas,Masculino,Dezembro,1,2019-12-01,Norte,1795
36,2019,Roraima,Masculino,Janeiro,0,2019-01-01,Norte,1461
37,2019,Roraima,Masculino,Fevereiro,1,2019-02-01,Norte,1492
38,2019,Roraima,Masculino,Março,0,2019-03-01,Norte,1520
39,2019,Roraima,Masculino,Abril,2,2019-04-01,Norte,1551
40,2019,Roraima,Masculino,Maio,1,2019-05-01,Norte,1581
41,2019,Roraima,Masculino,Junho,0,2019-06-01,Norte,1612
42,2019,Roraima,Masculino,Julho,1,2019-07-01,Norte,1642
43,2019,Roraima,Masculino,Agosto,1,2019-08-01,Norte,1673
44,2019,Roraima,Masculino,Setembro,1,2019-09-01,Norte,1704
45,2019,Roraima,Masculino,Outubro,0,2019-10-01,Norte,1734
46,2019,Roraima,Masculino,Novembro,0,2019-11-01,Norte,1765
47,2019,Roraima,Masculino,Dezembro,0,2019-12-01,Norte,1795
48,2019,Pará,Masculino,Janeiro,9,2019-01-01,Norte,1461
49,2019,Pará,Masculino,Fevereiro,7,2019-02-01,Norte,1492
50,2019,Pará,Masculino,Março,3,2019-03-01,Norte,1520
51,2019,Pará,Masculino,Abril,1,2019-04-01,Norte,1551
52,2019,Pará,Masculino,Maio,7,2019-05-01,Norte,1581
53,2019,Pará,Masculino,Junho,5,2019-06-01,Norte,1612
54,2019,Pará,Masculino,Julho,6,2019-07-01,Norte,1642
55,2019,Pará,Masculino,Agosto,2,2019-08-01,Norte,1673
56,2019,Pará,Masculino,Setembro,2,2019-09-01,Norte,1704
57,2019,Pará,Masculino,Outubro,5,2019-10-01,Norte,1734
58,2019,Pará,Masculino,Novembro,5,2019-11-01,Norte,1765
59,2019,Pará,Masculino,Dezembro,11,2019-12-01,Norte,1795
60,2019,Amapá,Masculino,Janeiro,0,2019-01-01,Norte,1461
61,2019,Amapá,Masculino,Fevereiro,5,2019-02-01,Norte,1492
62,2019,Amapá,Masculino,Março,0,2019-03-01,Norte,1520
63,2019,Amapá,Masculino,Abril,0,2019-04-01,Norte,1551
64,2019,Amapá,Masculino,Maio,0,2019-05-01,Norte,1581
65,2019,Amapá,Masculino,Junho,0,2019-06-01,Norte,1612
66,2019,Amapá,Masculino,Julho,0,2019-07-01,Norte,1642
67,2019,Amapá,Masculino,Agosto,0,2019-08-01,Norte,1673
68,2019,Amapá,Masculino,Setembro,0,2019-09-01,Norte,1704
69,2019,Amapá,Masculino,Outubro,0,2019-10-01,Norte,1734
70,2019,Amapá,Masculino,Novembro,0,2019-11-01,Norte,1765
