,ano,uf,genero,mes,numero,numero_mes,data
0,2019,Rondônia,Masculino,Janeiro,0,01,2019-01-01
1,2019,Rondônia,Masculino,Fevereiro,4,02,2019-02-01
2,2019,Rondônia,Masculino,Março,1,03,2019-03-01
3,2019,Rondônia,Masculino,Abril,0,04,2019-04-01
4,2019,Rondônia,Masculino,Maio,0,05,2019-05-01
5,2019,Rondônia,Masculino,Junho,2,06,2019-06-01
6,2019,Rondônia,Masculino,Julho,3,07,2019-07-01
7,2019,Rondônia,Masculino,Agosto,1,08,2019-08-01
8,2019,Rondônia,Masculino,Setembro,2,09,2019-09-01
9,2019,Rondônia,Masculino,Outubro,0,10,2019-10-01
10,2019,Rondônia,Masculino,Novembro,2,11,2019-11-01
11,2019,Rondônia,Masculino,Dezembro,2,12,2019-12-01
12,2019,Acre,Masculino,Janeiro,0,01,2019-01-01
13,2019,Acre,Masculino,Fevereiro,0,02,2019-02-01
14,2019,Acre,Masculino,Março,0,03,2019-03-01
15,2019,Acre,Masculino,Abril,0,04,2019-04-01
16,2019,Acre,Masculino,Maio,0,05,2019-05-01
17,2019,Acre,Masculino,Junho,1,06,2019-06-01
18,2019,Acre,Masculino,Julho,2,07,2019-07-01
19,2019,Acre,Masculino,Agosto,2,08,2019-08-01
20,2019,Acre,Masculino,Setembro,0,09,2019-09-01
21,2019,Acre,Masculino,Outubro,0,10,2019-10-01
22,2019,Acre,Masculino,Novembro,0,11,2019-11-01
23,2019,Acre,Masculino,Dezembro,1,12,2019-12-01
24,2019,Amazonas,Masculino,Janeiro,8,01,2019-01-01
25,2019,Amazonas,Masculino,Fevereiro,1,02,2019-02-01
26,2019,Amazonas,Masculino,Março,1,03,2019-03-01
27,2019,Amazonas,Masculino,Abril,0,04,2019-04-01
28,2019,Amazonas,Masculino,Maio,3,05,2019-05-01
29,2019,Amazonas,Masculino,Junho,2,06,2019-06-01
30,2019,Amazonas,Masculino,Julho,2,07,2019-07-01
31,2019,Amazonas,Masculino,Agosto,2,08,2019-08-01
32,2019,Amazonas,Masculino,Setembro,1,09,2019-09-01
33,2019,Amazonas,Masculino,Outubro,1,10,2019-10-01
34,2019,Amazonas,Masculino,Novembro,0,11,2019-11-01
35,2019,Amazonas,Masculino,Dezembro,1,12,2019-12-01
36,2019,Roraima,Masculino,Janeiro,0,01,2019-01-01
37,2019,Roraima,Masculino,Fevereiro,1,02,2019-02-01
38,2019,Roraima,Masculino,Março,0,03,2019-03-01
39,2019,Roraima,Masculino,Abril,2,04,2019-04-01
40,2019,Roraima,Masculino,Maio,1,05,2019-05-01
41,2019,Roraima,Masculino,Junho,0,06,2019-06-01
42,2019,Roraima,Masculino,Julho,1,07,2019-07-01
43,2019,Roraima,Masculino,Agosto,1,08,2019-08-01
44,2019,Roraima,Masculino,Setembro,1,09,2019-09-01
45,2019,Roraima,Masculino,Outubro,0,10,2019-10-01
46,2019,Roraima,Masculino,Novembro,0,11,2019-11-01
47,2019,Roraima,Masculino,Dezembro,0,12,2019-12-01
48,2019,Pará,Masculino,Janeiro,9,01,2019-01-01
49,2019,Pará,Masculino,Fevereiro,7,02,2019-02-01
50,2019,Pará,Masculino,Março,3,03,2019-03-01
51,2019,Pará,Masculino,Abril,1,04,2019-04-01
52,2019,Pará,Masculino,Maio,7,05,2019-05-01
53,2019,Pará,Masculino,Junho,5,06,2019-06-01
54,2019,Pará,Masculino,Julho,6,07,2019-07-01
55,2019,Pará,Masculino,Agosto,2,08,2019-08-01
56,2019,Pará,Masculino,Setembro,2,09,2019-09-01
57,2019,Pará,Masculino,Outubro,5,10,2019-10-01
58,2019,Pará,Masculino,Novembro,5,11,2019-11-01
59,2019,Pará,Masculino,Dezembro,11,12,2019-12-01
60,2019,Amapá,Masculino,Janeiro,0,01,2019-01-01
61,2019,Amapá,Masculino,Fevereiro,5,02,2019-02-01
62,2019,Amapá,Masculino,Março,0,03,2019-03-01
63,2019,Amapá,Masculino,Abril,0,04,2019-04-01
64,2019,Amapá,Masculino,Maio,0,05,2019-05-01
65,2019,Amapá,Masculino,Junho,0,06,2019-06-01
66,2019,Amapá,Masculino,Julho,0,07,2019-07-01
67,2019,Amapá,Masculino,Agosto,0,08,2019-08-01
68,2019,Amapá,Masculino,Setembro,0,09,2019-09-01
69,2019,Amapá,Masculino,Outubro,0,10,2019-10-01
70,2019,Amapá,Masculino,Novembro,0,11,2019-11-01
71,2019,Amapá,Masculino,Dezembro,0,12,2019-12-01
72,2019,Tocantins,Masculino,Janeiro,1,01,2019-01-01
73,2019,Tocantins,Masculino,Fevereiro,1,02,2019-02-01
74,2019,Tocantins,Masculino,Março,0,03,2019-03-01
75,2019,Tocantins,Masculino,Abril,0,04,2019-04-01
76,2019,Tocantins,Masculino,Maio,0,05,2019-05-01
77,2019,Tocantins,Masculino,Junho,1,06,2019-06-01
78,2019,Tocantins,Masculino,Julho,0,07,2019-07-01
79,2019,Tocantins,Masculino,Agosto,1,08,2019-08-01
80,2019,Tocantins,Masculino,Setembro,2,09,2019-09-01
81,2019,Tocantins,Masculino,Outubro,0,10,2019-10-01
82,2019,Tocantins,Masculino,Novembro,1,11,2019-11-01
83,2019,Tocantins,Masculino,Dezembro,1,12,2019-12-01
84,2019,Maranhão,Masculino,Janeiro,2,01,2019-01-01
85,2019,Maranhão,Masculino,Fevereiro,1,02,2019-02-01
86,2019,Maranhão,Masculino,Março,2,03,2019-03-01
87,2019,Maranhão,Masculino,Abril,1,04,2019-04-01
88,2019,Maranhão,Masculino,Maio,0,05,2019-05-01
89,2019,Maranhão,Masculino,Junho,2,06,2019-06-01
90,2019,Maranhão,Masculino,Julho,1,07,2019-07-01
91,2019,Maranhão,Masculino,Agosto,0,08,2019-08-01
92,2019,Maranhão,Masculino,Setembro,1,09,2019-09-01
93,2019,Maranhão,Masculino,Outubro,0,10,2019-10-01
94,2019,Maranhão,Masculino,Novembro,3,11,2019-11-01
95,2019,Maranhão,Masculino,Dezembro,2,12,2019-12-01
96,2019,Piauí,Masculino,Janeiro,1,01,2019-01-01
97,2019,Piauí,Masculino,Fevereiro,4,02,2019-02-01
98,2019,Piauí,Masculino,Março,0,03,2019-03-01
99,2019,Piauí,Masculino,Abril,1,04,2019-04-01
